Symbol,Name,Sector,Market Cap Type,Full Time Employees,City,State,AVG CLOSING PRE 08,STD PRE 08,AVG VOLUME PRE 08,% Change Pre-During 08,AVG CLOSING DURING 08,STD DURING 08,AVG VOLUME DURING 08,% Change During-Post 08,AVG CLOSING POST 08,STD POST 08,AVG VOLUME POST 08,AVG CLOSING PRE COVID,STD PRE COVID,AVG VOLUME PRE COVID,% Change Pre-During COVID,AVG CLOSING DURING COVID,STD DURING COVID,AVG VOLUME DURING COVID
AAPL,Apple Inc.,Technology,Mega Cap Stock,137000,Cupertino,CA,14.83860558,3.912498645,245651493.625498,18.33463323,17.55920949,4.17183491,282590124.5059289,45.46294284,25.54214286,4.267322814,145934311.1111111,205.96876980000002,35.01270056,28030962.698412698,39.45839067,287.24073169999997,27.72662244,46858621.951219514
MSFT,Microsoft Corporation,Technology,Mega Cap Stock,144000,Redmond,WA,22.37749004,1.444877183,62685415.93625498,-9.911233532999999,20.15960474,2.8230978710000003,84174016.60079052,6.78001303,21.52642857,2.0697026999999997,60585257.53968254,128.8275794,15.23579998,24582788.095238097,31.65498231,169.60792680000003,14.31184425,50897934.146341465
IBM,International Business Machines Corporation,Technology,Large Cap Stock,352600,Armonk,NY,71.63187251,5.801559727999999,7926079.6812749,6.734179941,76.4556917,11.24142495,9397111.462450594,16.326842499999998,88.93849206,4.87675347,6925150.0,130.8535317,6.343192341,3756726.984126984,-5.737839698999999,123.3453659,15.35108636,6485284.146341464
GE,General Electric Company,Industrials,Large Cap Stock,205000,Boston,MA,23.15709163,1.392326365,38255670.119521916,-23.19326703,17.78620553,4.037839748000001,81611738.73517786,-38.27613589,10.97833333,1.33528859,91022161.50793651,9.750436508,0.930689784,70554126.98412699,-15.03319734,8.284634146,2.487110076,107045765.85365854
WMT,"Wal-Mart Stores, Inc.",Consumer Defensive,Mega Cap Stock,2200000,Bentonville,AR,34.20342629,1.302360094,17352800.0,20.14652829,41.09422925,3.0032916960000002,23798944.268774703,-2.3023524909999997,40.14809524,1.794928541,15659454.365079366,106.4394841,9.35946159,6039657.53968254,12.12978608,119.3503659,6.438878333,10311279.268292682
T,AT&T Inc.,Communication Services,Mega Cap Stock,244000,Dallas,TX,19.19338645,1.237926365,23243430.278884463,-10.9088707,17.09960474,2.240877415,31106440.71146245,-14.560124800000002,14.60988095,0.572901667,29311309.523809522,32.2134127,3.550775385,30024890.873015873,-0.42550982200000004,32.07634146,3.5332140130000003,44974135.36585366
JNJ,Johnson & Johnson,Healthcare,Mega Cap Stock,132200,New Brunswick,NJ,43.17808765,1.46457814,11922764.143426295,4.5871589880000005,45.15873518,2.644305949,14763601.976284586,0.286368467,45.28805556,1.9462774230000002,12163021.42857143,131.2259524,4.982185824,7085347.619047619,8.103523331,141.859878,9.601531577000001,10656224.390243903
PG,Procter & Gamble Company (The),Consumer Defensive,Mega Cap Stock,97000,Cincinnati,OH,44.03717131,2.460365251,10627894.023904383,3.850283539,45.73272727,2.2801150569999997,16393855.731225297,-5.637198756,43.15468254,2.942968306,12452346.031746032,108.7868254,10.86954975,7564857.142857143,6.893660228,116.2862195,6.312040354,10925432.92682927
KO,Coca-Cola Company (The),Consumer Defensive,Mega Cap Stock,86200,Atlanta,GA,15.23633466,1.506334396,18303519.52191235,7.678164718,16.40620553,1.6055248819999999,25264216.600790516,9.819073156,18.01714286,1.06306432,21322988.095238097,49.56412698,3.597711152,12836895.238095239,-0.909105892,49.11353659,6.1023103039999995,20939321.951219514
PFE,"Pfizer, Inc.",Healthcare,Mega Cap Stock,88300,New York,NY,14.96103586,0.601939966,39740795.617529884,-19.61675566,12.02616601,1.166238665,50102847.43083004,-4.4467797860000005,11.49138889,0.86505697,57019825.79365079,38.4625,2.47439471,22721335.317460317,-8.560920122999999,35.1697561,2.689979107,30254880.48780488
GOOG,Google Inc.,Communication Services,Mega Cap Stock,123048,Mountain View,CA,259.5617131,34.82751458,10969484.462151395,-10.78885195,231.55798419999996,50.0206291,12690509.090909092,12.394471699999999,260.258373,26.87882987,6157269.841269841,1188.3930560000001,81.76537952,1414084.9206349207,10.31702617,1310.9998779999999,131.9877308,2276869.512195122
ORCL,Oracle Corporation,Technology,Large Cap Stock,136000,Redwood City,CA,16.63139442,1.394272874,34397700.0,4.22428889,17.33395257,1.794586931,42101356.52173913,16.51873112,20.19730159,1.4901155940000002,30003575.793650795,53.01702381,2.67898184,13038436.904761905,-3.2860119930000002,51.27487805,3.291262373,14256006.097560976
